country_name,country_code,anho,GC.DOD.TOTL.CN,GC.DOD.TOTL.GD.ZS,SP.DYN.CBRT.IN
Turkey,TUR,2014 [YR2014],645312129880.536,31.5638493902928,16.94
Turkey,TUR,2015 [YR2015],683048720324.166,29.2069977270683,16.718
Turkey,TUR,2016 [YR2016],831394045789.176,31.8721809053214,16.494
Ukraine,UKR,2014 [YR2014],1010314500000,63.6653191884884,10.8
Ukraine,UKR,2015 [YR2015],1397127900000,70.2588376218982,10.7
Ukraine,UKR,2016 [YR2016],1712921200000,71.8095454494004,10.3
United Kingdom,GBR,2014 [YR2014],1.977649e+12,106.213063195636,12
United Kingdom,GBR,2015 [YR2015],2.015806e+12,105.159904345358,11.9
United Kingdom,GBR,2016 [YR2016],2.294247e+12,114.972244759278,11.8
United States,USA,2014 [YR2014],1.6886105e+13,96.3722706936402,12.5
United States,USA,2015 [YR2015],1.7645011e+13,96.8479213792285,12.4
United States,USA,2016 [YR2016],1.8523318e+13,99.0171145300394,12.2
Uruguay,URY,2014 [YR2014],590186383919.879,44.357961352818,14.192
Uruguay,URY,2015 [YR2015],745197458875.336,51.1864800205919,14.134
Uruguay,URY,2016 [YR2016],805482973891.575,50.6849558753255,14.057
Zambia,ZMB,2014 [YR2014],74164628000,44.3960266359538,38.645
Zambia,ZMB,2015 [YR2015],90603650000,49.4072998798677,37.95
